date,time,open,high,low,close,volume
2017/1/5,20:00,19575,19575,19550,19560,6896
2017/1/5,20:15,19555,19580,19550,19580,7028
2017/1/5,20:30,19580,19580,19565,19575,2921
2017/1/5,20:45,19575,19575,19570,19570,2332
2017/1/5,21:00,19575,19585,19565,19585,3360
2017/1/5,21:15,19580,19590,19580,19590,3989
2017/1/5,21:30,19590,19590,19575,19575,2972
2017/1/5,21:45,19580,19585,19575,19580,1744
2017/1/5,22:00,19580,19590,19570,19575,4579
2017/1/5,22:15,19580,19585,19565,19585,5379
2017/1/5,22:30,19585,19600,19580,19600,5732
2017/1/5,22:45,19600,19610,19585,19590,6815
2017/1/5,23:00,19585,19595,19575,19580,5586
2017/1/5,23:15,19580,19585,19545,19550,9704
2017/1/5,23:30,19550,19605,19550,19575,20140
2017/1/5,23:45,19575,19590,19540,19555,16556
2017/1/5,0:00,19555,19580,19535,19540,13966
2017/1/5,0:15,19540,19565,19530,19540,11759
2017/1/5,0:30,19535,19545,19520,19545,12270
2017/1/5,0:45,19545,19570,19545,19555,8011
2017/1/5,1:00,19550,19585,19550,19580,6219
2017/1/5,1:15,19580,19600,19570,19595,5716
2017/1/5,1:30,19595,19600,19585,19595,3458
2017/1/5,1:45,19600,19615,19600,19610,3623
2017/1/5,2:00,19610,19610,19595,19595,3767
2017/1/5,2:15,19600,19605,19585,19585,2081
2017/1/5,2:30,19590,19595,19580,19595,1649
2017/1/5,2:45,19600,19600,19585,19590,1925
2017/1/5,3:00,19590,19600,19590,19595,973
2017/1/5,3:15,19600,19605,19595,19595,295
2017/1/5,3:30,19595,19605,19595,19595,736
2017/1/5,3:45,19595,19600,19590,19590,853
2017/1/5,4:00,19595,19615,19575,19605,4507
2017/1/5,4:15,19605,19640,19605,19635,7185
2017/1/5,4:30,19640,19670,19635,19655,5916
2017/1/5,4:45,19655,19655,19645,19650,2048
2017/1/5,5:00,19650,19660,19645,19650,1015
2017/1/5,5:15,19650,19660,19650,19655,1498
2017/1/5,5:30,19655,19655,19655,19655,2099
2017/1/5,8:45,19630,19640,19580,19595,21595
2017/1/5,9:00,19595,19595,19535,19575,51507
2017/1/5,9:15,19575,19575,19535,19575,41950
2017/1/5,9:30,19575,19605,19555,19555,35126
2017/1/5,9:45,19555,19580,19530,19540,33991
2017/1/5,10:00,19540,19555,19520,19545,36803
2017/1/5,10:15,19545,19575,19540,19570,19512
2017/1/5,10:30,19565,19565,19535,19545,29172
2017/1/5,10:45,19545,19560,19530,19530,17886
2017/1/5,11:00,19535,19545,19530,19535,10624
2017/1/5,11:15,19535,19545,19520,19525,11501
2017/1/5,11:30,19530,19535,19520,19535,9120
2017/1/5,11:45,19535,19535,19505,19505,9858
2017/1/5,12:00,19505,19510,19480,19485,16059
2017/1/5,12:15,19485,19500,19470,19500,14865
2017/1/5,12:30,19500,19515,19495,19505,21985
2017/1/5,12:45,19500,19520,19490,19500,15088
2017/1/5,13:00,19500,19520,19495,19520,10051
2017/1/5,13:15,19515,19535,19505,19515,14546
2017/1/5,13:30,19510,19520,19505,19520,4682
2017/1/5,13:45,19515,19520,19475,19480,23071
2017/1/5,14:00,19480,19495,19455,19460,22375
2017/1/5,14:15,19460,19480,19455,19465,17676
2017/1/5,14:30,19465,19510,19455,19480,23640
2017/1/5,14:45,19485,19525,19480,19510,41578
2017/1/5,15:00,19515,19530,19490,19505,21218
2017/1/5,15:15,19500,19500,19500,19500,6769
2017/1/6,16:30,19440,19445,19405,19415,24604
2017/1/6,16:45,19415,19440,19410,19435,9764
2017/1/6,17:00,19435,19455,19405,19445,14640
2017/1/6,17:15,19445,19500,19435,19495,16281
2017/1/6,17:30,19495,19520,19485,19505,14471
2017/1/6,17:45,19510,19520,19490,19490,8338
2017/1/6,18:00,19490,19505,19480,19505,5637
2017/1/6,18:15,19505,19530,19495,19525,8859
2017/1/6,18:30,19525,19545,19520,19525,11184
2017/1/6,18:45,19525,19545,19520,19540,6623
2017/1/6,19:00,19540,19540,19520,19525,4282
2017/1/6,19:15,19525,19530,19500,19515,6092
2017/1/6,19:30,19515,19530,19505,19525,3793
2017/1/6,19:45,19525,19550,19525,19550,6067
2017/1/6,20:00,19550,19550,19530,19535,5061
2017/1/6,20:15,19535,19540,19520,19525,3573
2017/1/6,20:30,19520,19540,19515,19535,3504
2017/1/6,20:45,19535,19545,19530,19545,3359
2017/1/6,21:00,19545,19545,19515,19520,6482
2017/1/6,21:15,19520,19520,19500,19510,6173
2017/1/6,21:30,19505,19510,19495,19505,4736
2017/1/6,21:45,19505,19510,19495,19505,3022
2017/1/6,22:00,19500,19520,19495,19505,4837
2017/1/6,22:15,19505,19510,19475,19485,12932
2017/1/6,22:30,19485,19495,19455,19455,10975
2017/1/6,22:45,19455,19490,19455,19480,7401
2017/1/6,23:00,19475,19480,19450,19460,7733
2017/1/6,23:15,19460,19475,19450,19475,4806
2017/1/6,23:30,19475,19490,19450,19475,14817
2017/1/6,23:45,19470,19505,19470,19495,9049
2017/1/6,0:00,19490,19505,19470,19480,14114
2017/1/6,0:15,19480,19495,19430,19450,17749
2017/1/6,0:30,19455,19460,19420,19425,15510
2017/1/6,0:45,19425,19445,19400,19435,18440
2017/1/6,1:00,19430,19445,19365,19375,25972
2017/1/6,1:15,19375,19420,19370,19405,12019
2017/1/6,1:30,19400,19410,19365,19370,11859
2017/1/6,1:45,19370,19400,19365,19395,7496
2017/1/6,2:00,19400,19415,19375,19390,7228
2017/1/6,2:15,19390,19415,19390,19400,4233
2017/1/6,2:30,19400,19410,19395,19405,3363
2017/1/6,2:45,19405,19415,19400,19405,1968
2017/1/6,3:00,19405,19435,19400,19435,2663
2017/1/6,3:15,19435,19440,19425,19430,1641
2017/1/6,3:30,19430,19440,19420,19425,1518
2017/1/6,3:45,19425,19430,19415,19425,1122
2017/1/6,4:00,19425,19455,19420,19450,3098
2017/1/6,4:15,19455,19460,19445,19445,611
2017/1/6,4:30,19445,19450,19430,19430,1811
2017/1/6,4:45,19435,19455,19430,19440,1993
2017/1/6,5:00,19440,19455,19435,19450,714
2017/1/6,5:15,19450,19460,19440,19445,1496
